state,type,crimes,Year
Johor,robbery_solo_armed,0,2023
Johor,robbery_solo_unarmed,86,2016
Johor,robbery_solo_unarmed,89,2017
Johor,robbery_solo_unarmed,68,2018
Johor,robbery_solo_unarmed,60,2019
Johor,robbery_solo_unarmed,98,2020
Johor,robbery_solo_unarmed,22,2021
Johor,robbery_solo_unarmed,20,2022
Johor,robbery_solo_unarmed,27,2023
Johor,break_in,333,2016
Johor,break_in,229,2017
Johor,break_in,238,2018
Johor,break_in,233,2019
Johor,break_in,149,2020
Johor,break_in,91,2021
Johor,break_in,53,2022
Johor,break_in,53,2023
Johor,theft_other,374,2016
Johor,theft_other,282,2017
Johor,theft_other,300,2018
Johor,theft_other,269,2019
Johor,theft_other,175,2020
Johor,theft_other,86,2021
Johor,theft_other,51,2022
Johor,theft_other,87,2023
Johor,theft_vehicle_lorry,65,2016
Johor,theft_vehicle_lorry,42,2017
Johor,theft_vehicle_lorry,36,2018
Johor,theft_vehicle_lorry,40,2019
Johor,theft_vehicle_lorry,25,2020
Johor,theft_vehicle_lorry,8,2021
Johor,theft_vehicle_lorry,15,2022
Johor,theft_vehicle_lorry,8,2023
Johor,theft_vehicle_motorcar,221,2016
Johor,theft_vehicle_motorcar,174,2017
Johor,theft_vehicle_motorcar,160,2018
Johor,theft_vehicle_motorcar,169,2019
Johor,theft_vehicle_motorcar,125,2020
Johor,theft_vehicle_motorcar,77,2021
Johor,theft_vehicle_motorcar,74,2022
Johor,theft_vehicle_motorcar,65,2023
Johor,theft_vehicle_motorcycle,635,2016
Johor,theft_vehicle_motorcycle,510,2017
Johor,theft_vehicle_motorcycle,572,2018
Johor,theft_vehicle_motorcycle,433,2019
Johor,theft_vehicle_motorcycle,286,2020
Johor,theft_vehicle_motorcycle,123,2021
Johor,theft_vehicle_motorcycle,161,2022
Johor,theft_vehicle_motorcycle,174,2023
Johor,causing_injury,58,2016
Johor,causing_injury,45,2017
Johor,causing_injury,57,2018
Johor,causing_injury,60,2019
Johor,causing_injury,43,2020
